id,Community,B
1,0,-0.21
2,5,-0.08
5,8,-0.44
12,4,1.29
18,5,0.99
151,1,3.49
163,7,4.99
794,5,5.27
795,8,3.49
21,1,-0.44
424,2,4.1
3,5,-0.67
8,3,0.73
337,1,-0.48
4,6,0.45
6,8,-0.37
9,7,-0.46
11,5,1.24
14,4,-0.26
16,4,-0.5
19,5,0.09
27,7,-0.35
28,6,0.48
40,5,0.12
41,4,0.14
77,3,2.13
144,6,3.02
162,2,4.96
171,7,3.37
176,4,4.59
322,8,3.05
328,2,0.71
429,8,2.23
474,4,3.21
515,5,6.59
802,5,3.27
977,6,2.98
7,3,-0.35
22,6,-0.86
24,4,1.02
46,3,0.02
51,6,0.19
152,3,3.7
422,7,4.64
446,4,1.62
37,4,0.44
158,8,0.67
412,4,2.6
839,9,-0.33
846,6,0.12
10,3,-0.52
366,0,2.2
370,4,-0.03
377,0,1.72
30,6,-0.35
43,8,-0.22
184,1,0.11
185,4,0.91
232,8,2.35
240,3,3.3
246,3,0.7
369,2,1.33
373,2,0.59
33,2,-0.09
36,4,-0.7
13,3,1.16
20,5,0.43
23,5,-0.45
29,4,-0.67
34,2,-0.69
39,4,-0.03
42,8,-0.37
52,8,0.48
58,0,0.58
61,1,-0.1
63,5,-0.45
72,2,1.42
150,8,5.08
160,0,1.67
323,4,1.96
367,4,1.12
413,6,4.4
502,2,1.1
703,5,2.34
769,0,2.77
819,8,0.7
853,4,1.02
855,2,1.54
974,8,-0.06
976,1,-0.02
15,5,0.31
224,3,2.13
237,5,1.61
257,8,1.37
262,0,2.2
263,6,3.53
287,4,0.44
498,4,3.51
532,3,5.79
735,6,0.01
737,8,2.38
741,4,0.48
911,0,0.49
17,0,-0.73
26,4,-0.6
275,6,1.28
336,6,-0.53
360,1,2.64
361,9,2.45
423,6,0.74
32,6,-0.75
837,5,1.24
25,2,-0.69
31,6,-0.46
57,4,-0.8
59,5,-0.36
60,2,-0.48
65,2,-0.63
175,6,3.74
375,3,0.02
964,8,-0.41
62,2,-0.72
35,0,-0.82
44,1,0.03
47,7,-0.37
38,2,-0.78
421,2,3.21
970,3,-0.01
48,4,-0.77
50,2,-0.78
53,6,-0.82
55,6,-0.82
45,2,-0.69
764,4,-0.63
49,1,-0.36
54,0,-0.77
64,3,-0.52
56,5,-0.53
66,8,-0.63
79,0,0.89
100,8,-0.15
101,0,-0.86
327,5,0.2
359,5,-0.56
67,4,-0.13
81,0,1.5
82,5,-0.47
84,4,0.24
94,3,-0.01
98,0,-0.07
105,3,-0.1
106,4,-0.03
107,7,-0.07
110,3,0.05
112,9,0.62
114,6,-0.28
118,2,-0.39
126,1,0.15
132,7,-0.03
318,4,1.99
319,6,1.79
472,4,-0.23
68,0,-0.03
91,8,-0.12
102,0,0.1
121,0,-0.12
131,6,-0.21
135,4,-0.2
136,2,1.04
699,0,0.32
69,3,-0.18
90,6,0.19
96,0,0.36
117,7,0.01
125,6,-0.02
70,3,-0.58
78,1,-0.29
95,8,-0.37
109,0,0.14
123,2,0.5
134,4,-0.74
138,6,-0.24
71,2,-0.81
74,0,0.8
111,6,2.22
116,2,1.1
154,6,2.69
216,4,0.44
219,0,-0.82
251,7,-0.25
320,8,1.12
325,2,1.54
326,0,2.37
334,8,0.99
368,8,-0.69
374,0,0.62
418,9,3.07
457,8,1.02
501,2,1.07
521,8,0.13
533,3,2.9
599,8,0.67
696,5,0.57
700,6,-0.02
709,0,0.01
710,7,0.09
714,8,0.36
717,8,-0.12
719,2,0.5
720,8,0.36
722,0,0.32
724,2,0.2
728,2,1.04
729,1,0.15
732,5,1.33
734,3,-0.38
852,4,1.18
905,4,2.23
950,8,1.94
73,7,-0.44
500,0,-0.16
115,6,0.45
122,6,0.63
127,4,-0.53
133,0,-0.12
354,1,1.15
673,8,0.48
676,9,0.74
679,0,1.8
681,8,0.67
688,9,0.2
691,2,-0.36
705,0,0.28
706,3,0.16
713,3,-0.58
75,6,-0.53
222,4,0.17
245,5,1.38
295,6,0.12
510,7,-0.15
954,0,-0.86
956,6,-0.57
76,2,-0.06
85,8,-0.25
99,8,0.07
119,1,-0.46
355,3,-0.44
727,8,-0.41
80,7,0.21
241,8,-0.12
247,6,0.37
290,7,0.61
301,0,3.42
305,1,0.24
364,6,-0.13
371,5,0.23
666,5,0.74
668,6,-0.31
671,2,0.68
682,4,-0.06
683,1,0.37
684,7,0.25
698,6,0.01
704,7,-0.44
707,5,-0.39
948,2,1.12
365,7,-0.46
130,5,-0.56
113,4,-0.57
497,4,0.51
83,7,-0.44
86,7,-0.44
87,8,-0.82
88,8,-0.5
89,6,-0.24
124,8,-0.53
708,3,-0.27
731,3,-0.52
97,2,-0.12
317,6,0.48
93,2,-0.69
92,1,-0.46
137,0,-0.95
259,3,1.96
494,0,-0.16
689,8,-0.82
693,7,-0.33
270,8,-0.79
104,6,-0.78
513,0,-0.21
108,7,-0.41
358,8,-0.66
339,0,-0.82
335,7,-0.03
481,5,1.64
672,4,-0.47
674,6,0.12
675,6,-0.1
678,0,0.8
120,1,-0.42
129,4,-0.87
128,8,-0.72
479,0,0.97
746,4,2.03
754,5,1.24
756,0,1.67
918,2,2.52
941,8,0.77
450,4,-0.3
139,3,-0.44
140,2,-0.42
141,4,-0.5
143,1,-0.25
165,0,-0.07
167,3,-0.21
170,4,0.44
174,0,-0.12
178,5,-0.36
179,3,-0.12
180,3,-0.35
142,8,-0.88
147,6,-0.39
415,4,-0.43
419,6,0.88
506,5,0.31
145,2,0.02
155,8,-0.31
159,4,-0.67
161,3,0.82
396,0,1.89
408,2,0.35
433,8,-0.06
813,2,0.2
845,0,1.19
851,0,1.06
858,5,0.26
860,5,0.37
886,7,0.65
888,3,0.93
891,6,1.24
146,3,-0.55
149,1,-0.27
148,4,0.04
156,3,-0.35
389,2,0.89
834,8,0.99
841,8,-0.72
848,6,-0.21
153,3,-0.55
157,0,-0.86
166,2,-0.66
217,2,-0.21
218,8,0.2
265,6,0.37
267,6,0.88
268,2,0.02
283,4,-0.23
286,2,1.51
379,6,-0.64
382,4,-0.2
388,7,-0.17
399,3,0.22
402,6,0.52
420,8,0.99
426,8,1.56
427,2,0.29
437,7,-0.17
460,5,0.17
530,8,0.26
544,2,-0.09
680,1,0.05
718,6,-0.64
748,8,0.13
766,3,0.79
767,5,-0.02
796,6,0.27
798,4,-0.5
801,4,-0.23
807,5,-0.25
810,8,-0.37
816,7,-0.01
820,5,-0.59
832,2,-0.42
849,4,-0.57
859,1,0.92
863,0,0.45
871,0,1.72
909,0,1.8
910,8,1.81
915,1,-0.06
922,5,0.82
966,5,-0.3
967,6,-0.46
968,4,-0.6
973,2,-0.57
975,5,-0.3
266,0,1.45
271,6,-0.42
255,2,0.8
383,2,0.38
390,4,-0.53
398,6,-0.17
935,4,0.07
164,8,-0.09
177,4,-0.84
191,6,-0.17
742,5,-0.33
743,4,-0.63
745,3,-0.21
929,5,0.31
183,0,-0.6
272,7,-0.21
387,2,0.17
403,7,0.05
409,7,0.27
411,8,-0.09
432,5,-0.53
440,3,0.59
443,3,0.16
448,6,0.77
456,2,0.41
168,6,-0.68
393,2,-0.04
406,5,0.03
414,2,-0.01
169,8,-0.85
416,6,-0.57
873,4,-0.13
879,2,0.26
172,1,-0.46
173,2,-0.57
442,0,-0.86
201,5,0.17
205,3,0.33
378,5,-0.5
386,5,-0.11
405,3,0.85
407,8,0.29
425,8,-0.12
431,6,-0.13
439,0,0.54
445,5,0.17
447,8,0.51
453,5,0.15
455,7,-0.05
459,2,-0.63
471,5,0.65
517,0,2.5
702,6,-0.13
181,0,-0.03
188,6,-0.31
189,2,-0.72
194,8,-0.53
198,8,-0.44
856,5,-0.33
182,2,-0.72
190,5,-0.5
193,4,-0.63
195,0,0.01
187,6,-0.89
204,0,-0.6
186,6,-0.17
196,1,-0.23
200,2,-0.66
857,2,-0.78
192,5,-0.47
202,5,-0.42
203,8,-0.72
197,4,-0.77
199,8,-0.79
210,4,0.54
736,3,-0.61
206,6,-0.89
207,5,-0.59
208,0,-0.86
212,5,-0.7
907,0,-1.04
209,8,-0.56
281,8,-0.44
282,5,-0.3
288,9,-0.18
293,5,-0.08
300,0,0.41
311,8,-0.09
516,2,-0.45
908,0,-0.95
921,5,-0.02
211,1,-0.48
213,3,-0.7
214,6,-0.78
215,3,0.3
221,5,-0.7
264,7,0.45
952,2,-0.39
953,4,0.98
244,5,-0.02
963,6,-0.68
959,1,-0.4
225,3,-0.47
480,6,0.37
568,0,-0.6
223,4,-0.8
239,0,-0.56
228,2,-0.78
233,4,-0.74
243,3,-0.5
254,3,-0.5
258,1,-0.34
298,2,-0.45
303,5,-0.56
310,8,0.2
226,8,2.92
229,2,-0.66
230,3,-0.35
231,2,-0.33
236,8,-0.5
238,5,0.54
250,6,3.27
260,3,0.08
273,7,-0.42
274,4,-0.84
277,0,-0.12
279,0,-0.86
297,2,0.86
299,5,-0.39
308,4,0.41
329,5,-0.39
357,3,0.79
483,2,1.63
484,6,0.66
485,6,-0.46
486,2,1.99
505,1,5.8
667,0,1.28
685,7,-0.33
686,7,-0.23
692,6,-0.6
697,5,-0.42
875,8,-0.28
876,6,0.01
880,4,0.58
881,4,0.01
889,1,-0.19
890,6,0.99
892,2,-0.45
893,0,-0.25
894,6,-0.71
895,0,-0.25
896,4,0.78
897,8,-0.69
898,3,-0.52
900,1,-0.14
901,4,-0.47
928,3,0.93
934,4,0.48
942,0,1.32
946,7,-0.15
227,8,-0.85
477,0,-0.82
488,5,-0.33
944,6,-0.68
234,0,-0.6
487,1,-0.29
490,5,-0.22
235,5,-0.61
242,6,0.56
304,6,-0.82
475,5,-0.33
943,4,0.31
947,0,-0.21
296,8,-0.66
249,6,-0.53
306,7,-0.33
524,4,-0.06
527,6,0.01
882,0,-0.21
248,5,-0.56
289,8,0.2
253,3,-0.55
276,2,-0.78
278,6,-0.78
307,0,-0.07
252,0,-0.73
256,8,-0.63
903,2,0.08
912,6,-0.42
917,5,-0.25
949,7,-0.17
261,3,-0.47
913,1,0.07
269,3,-0.61
478,0,-0.77
899,2,-0.75
280,0,-0.29
541,3,-0.12
557,5,0.23
284,2,-0.84
285,5,1.58
309,3,-0.41
509,8,-0.47
520,8,0.83
548,3,0.13
607,4,-0.74
634,8,-0.72
638,9,-0.51
940,3,1.05
955,8,-0.53
313,6,-0.64
522,4,-0.03
291,8,-0.88
292,1,-0.4
294,2,-0.66
482,7,-0.44
302,8,-0.47
312,6,-0.46
951,2,-0.54
314,1,-0.4
315,5,-0.64
316,1,-0.44
356,6,-0.13
789,5,-0.02
804,6,-0.46
808,5,-0.3
103,5,-0.7
687,4,-0.5
321,5,-0.7
331,3,-0.67
324,1,-0.42
778,5,-0.16
784,0,-0.21
822,3,-0.64
567,8,0.55
330,0,-1.04
333,4,-0.87
342,8,-0.69
535,0,1.32
637,3,-0.01
652,2,-0.66
657,0,-0.77
338,2,-0.75
340,3,-0.61
341,7,-0.46
343,0,-0.69
344,6,-0.68
345,9,-0.39
346,0,-0.73
347,3,-0.47
350,0,-0.69
353,0,-0.69
348,1,-0.34
349,2,-0.6
351,3,-0.5
352,0,-0.69
701,6,-0.82
332,4,-0.7
525,2,-0.72
694,3,-0.47
865,4,0.01
872,8,0.32
362,3,-0.72
363,1,-0.44
372,1,-0.27
376,7,-0.39
380,7,-0.46
381,5,-0.67
394,3,-0.1
400,5,0.2
384,6,0.41
392,2,-0.57
397,6,-0.6
461,4,-0.16
462,6,-0.24
385,5,-0.56
395,4,-0.1
438,6,-0.39
391,2,-0.75
401,4,-0.84
404,6,-0.89
449,4,-0.74
410,6,-0.82
458,3,-0.44
723,0,-0.42
971,4,-0.63
417,7,-0.41
428,6,0.56
430,3,-0.41
434,7,-0.35
435,8,-0.56
444,8,-0.6
454,0,-0.86
463,8,-0.72
464,1,-0.46
817,2,-0.06
825,1,-0.04
838,3,-0.55
969,6,-0.5
972,9,-0.24
436,1,-0.48
441,6,-0.78
451,6,-0.57
452,3,0.19
466,3,-0.7
467,5,-0.61
465,6,-0.93
468,3,-0.7
469,4,-0.87
470,5,0.79
508,2,-0.45
528,5,0.12
537,1,0.07
538,8,-0.15
540,5,-0.33
545,3,-0.44
559,6,-0.71
561,4,-0.7
571,1,-0.34
574,0,-0.82
575,5,-0.08
577,6,0.19
586,4,-0.74
587,1,-0.14
588,3,-0.55
592,1,-0.44
595,1,-0.17
600,8,0.32
609,3,0.16
613,5,-0.5
614,8,-0.02
627,0,-0.73
629,6,-0.71
642,0,-0.77
643,6,-0.21
647,5,-0.33
656,6,-0.42
476,5,-0.56
542,8,-0.37
546,6,-0.39
550,5,-0.22
556,0,-0.73
562,7,-0.27
591,1,-0.17
593,0,-0.47
604,5,-0.05
610,8,-0.28
473,3,-0.1
512,6,0.23
514,3,-0.67
618,8,-0.69
626,4,-0.67
635,3,-0.52
507,3,-0.47
539,6,-0.42
585,6,-0.39
597,0,-0.82
885,6,-0.68
733,6,-0.68
862,0,-0.64
874,2,-0.33
868,8,-0.53
518,7,-0.41
553,0,-0.86
569,8,0.29
570,2,-0.48
579,8,0.07
581,4,-0.47
590,5,0.15
489,5,-0.56
491,4,-0.77
492,5,-0.28
495,2,-0.75
493,9,-0.27
531,2,-0.48
864,6,-0.57
496,7,-0.48
519,9,-0.15
499,8,-0.85
660,6,-0.93
877,7,-0.21
503,2,-0.36
504,5,-0.47
523,4,-0.33
526,3,-0.55
534,5,-0.47
543,2,-0.12
547,3,-0.52
549,0,-0.51
551,4,-0.47
552,0,0.1
560,3,-0.21
573,7,-0.35
582,0,-0.6
583,4,-0.47
584,6,-0.02
606,0,0.76
611,3,-0.44
640,7,-0.46
645,4,-0.8
649,8,-0.79
650,3,-0.58
840,2,0.56
866,5,-0.22
867,8,-0.6
869,1,-0.12
870,8,-0.6
878,7,-0.15
902,3,-0.27
920,8,-0.15
930,6,0.45
939,5,0.12
957,8,-0.79
960,5,-0.59
564,2,-0.66
511,2,-0.87
612,7,-0.42
619,7,-0.42
631,6,-0.13
576,2,-0.57
594,2,-0.57
615,6,-0.78
621,0,-0.69
624,7,-0.44
632,5,-0.5
