id,Community,B
1,0,0.02
2,5,0.07
5,3,-0.28
12,3,0.88
18,0,1.48
151,2,3.61
163,6,5.74
794,6,4.94
795,9,3.83
21,6,-0.51
424,8,3.16
3,2,-0.62
8,0,1.16
337,6,-0.56
4,3,0.07
6,3,-0.46
9,4,-0.96
11,4,1.71
14,10,-0.2
16,4,-0.6
19,5,0.21
27,3,-0.6
28,2,0.38
40,9,0.14
41,2,-0.02
77,3,1.75
144,1,3.4
162,2,4.26
171,3,4.19
176,6,3.53
322,5,3.72
328,6,0.76
429,7,3.01
474,3,2.54
515,2,5.6
802,10,3.61
977,3,2.33
7,0,-0.27
22,6,-0.53
24,4,1.03
46,2,0.01
51,9,0.2
152,4,4.49
422,8,4.54
446,3,1.37
37,10,0.44
158,1,0.75
412,6,2.1
839,1,-0.56
846,1,0.22
10,5,-0.68
366,5,1.61
370,3,-0.11
377,4,1.6
30,1,-0.21
43,5,-0.18
184,8,0.05
185,3,0.59
232,1,2.94
240,5,3.86
246,4,0.66
369,6,1.27
373,10,0.72
33,3,-0.17
36,0,-0.52
13,0,1.48
20,0,0.66
23,9,-0.42
29,3,-0.66
34,0,-0.52
39,8,-0.01
42,6,-0.14
52,9,0.58
58,1,0.5
61,5,-0.36
63,10,-0.5
72,7,1.97
150,3,4.8
160,3,0.91
323,10,1.72
367,7,1.18
413,0,4.86
502,3,1.06
703,3,2.04
769,1,2.41
819,2,0.45
853,4,1.21
855,4,1.93
974,2,-0.09
976,3,-0.28
15,4,0.38
224,6,1.85
237,2,1.56
257,4,2.11
262,4,1.85
263,0,3.9
287,5,0.57
498,2,2.65
532,10,5.69
735,5,-0.0
737,7,2.86
741,6,0.47
911,4,0.34
17,3,-0.6
26,5,-0.65
275,2,0.8
336,3,-0.69
360,2,2.56
361,4,2.32
423,10,0.69
32,0,-0.52
837,1,1.45
25,3,-0.66
31,0,-0.23
57,1,-0.74
59,5,-0.57
60,2,-0.34
65,4,-0.71
175,3,3.0
375,8,-0.03
964,0,-0.3
62,6,-0.46
35,10,-0.56
44,6,-0.02
47,9,-0.6
38,5,-0.82
421,6,2.95
970,4,-0.09
48,3,-0.81
50,4,-0.89
53,10,-0.64
55,4,-0.85
45,4,-0.78
764,3,-0.63
49,7,-0.69
54,1,-0.63
64,8,-0.46
56,7,-0.73
66,1,-0.7
79,4,0.74
100,3,-0.22
101,3,-0.75
327,9,0.23
359,5,-0.75
67,7,-0.19
81,1,1.31
82,5,-0.68
84,10,0.14
94,4,-0.13
98,10,-0.0
105,8,0.01
106,6,0.08
107,3,-0.22
110,2,-0.11
112,3,0.21
114,1,-0.14
118,7,-0.15
126,3,-0.14
132,10,-0.08
318,5,2.07
319,7,2.0
472,0,0.13
68,5,-0.07
91,1,0.04
102,4,-0.09
121,5,-0.11
131,0,0.02
135,4,-0.27
136,3,1.08
699,10,0.17
69,3,-0.22
90,2,0.1
96,0,0.48
117,0,0.05
125,5,-0.0
70,5,-0.68
78,10,-0.5
95,1,-0.31
109,4,-0.09
123,2,0.56
134,4,-0.81
138,5,-0.22
71,6,-0.58
74,6,0.54
111,7,2.32
116,1,1.56
154,9,2.88
216,0,0.7
219,0,-0.52
251,2,-0.37
320,7,1.68
325,3,1.46
326,5,1.75
334,3,0.97
368,1,-0.67
374,6,0.39
418,10,2.47
457,1,1.42
501,1,1.45
521,8,0.11
533,1,3.93
599,6,0.54
696,10,0.72
700,7,0.1
709,4,-0.13
710,3,-0.11
714,6,0.37
717,6,0.0
719,3,0.47
720,0,0.59
722,4,0.23
724,5,0.61
728,3,0.97
729,8,0.01
732,0,1.69
734,10,-0.31
852,3,0.85
905,2,1.54
950,5,2.29
73,1,-0.81
500,3,-0.34
115,3,0.27
122,0,0.87
127,5,-0.5
133,7,-0.12
354,4,1.39
673,10,0.61
676,1,0.57
679,6,1.12
681,7,0.85
688,6,-0.02
691,7,-0.37
705,2,0.12
706,4,-0.02
713,4,-0.81
75,4,-0.71
222,10,0.19
245,4,1.6
295,1,0.43
510,2,-0.32
954,8,-0.49
956,3,-0.63
76,5,0.07
85,2,-0.18
99,2,0.05
119,6,-0.53
355,5,-0.61
727,2,-0.37
80,5,0.28
241,0,0.09
247,3,0.3
290,8,0.44
301,0,3.01
305,0,0.45
364,3,-0.25
371,5,0.25
666,3,0.5
668,5,-0.32
671,0,1.34
682,1,-0.1
683,3,0.15
684,3,0.01
698,1,-0.03
704,0,-0.69
707,3,-0.54
948,3,0.94
365,0,-0.69
130,10,-0.58
113,4,-0.74
497,8,0.34
83,0,-0.73
86,2,-0.62
87,6,-0.53
88,5,-0.47
89,3,-0.28
124,6,-0.34
708,1,-0.28
731,2,-0.51
97,0,0.2
317,0,0.91
93,7,-0.76
92,1,-0.84
137,3,-0.78
259,5,2.61
494,10,-0.11
689,3,-0.78
693,1,-0.6
270,6,-0.51
104,7,-0.8
513,2,-0.13
108,1,-0.74
358,6,-0.46
339,6,-0.43
335,10,-0.08
481,4,1.89
672,7,-0.51
674,4,0.16
675,10,-0.14
678,5,0.64
120,3,-0.75
129,5,-0.93
128,10,-0.61
479,6,0.76
746,0,2.44
754,3,1.26
756,4,1.35
918,3,2.22
941,3,0.59
