id,Community,B
1,0,-0.27
2,2,-0.06
5,2,-0.2
12,1,0.99
18,5,1.15
151,7,4.09
163,7,6.25
794,0,5.97
795,6,5.03
21,5,-0.81
424,1,3.46
3,6,-0.69
8,3,0.64
337,7,-0.52
4,3,0.34
6,7,-0.12
9,4,-0.67
11,8,1.88
14,2,-0.28
16,1,-0.44
19,1,-0.11
27,0,-0.58
28,7,0.66
40,1,0.03
41,0,0.03
77,8,2.75
144,2,2.28
162,2,4.53
171,2,3.83
176,1,3.66
322,1,2.67
328,6,1.43
429,4,2.06
474,1,2.25
515,3,6.82
802,1,3.12
977,3,2.4
7,1,-0.53
22,8,-0.72
24,4,0.82
46,2,-0.01
51,2,-0.04
152,1,3.1
422,4,5.92
446,4,1.35
37,5,0.49
158,0,0.65
412,7,2.39
839,4,-0.49
846,1,-0.08
10,0,-0.72
366,0,1.5
370,2,0.02
377,7,1.31
30,0,-0.17
43,5,-0.16
184,6,0.27
185,0,0.78
232,8,3.15
240,1,3.04
246,6,1.2
369,5,1.69
373,0,0.82
33,1,-0.11
36,5,-0.67
13,3,0.95
20,6,1.24
23,5,-0.49
29,7,-0.4
34,3,-0.55
39,0,-0.07
42,0,-0.41
52,7,0.56
58,5,0.38
61,5,-0.38
63,8,-0.46
72,2,1.35
150,0,5.43
160,3,0.89
323,5,1.91
367,4,0.88
413,6,5.22
502,3,1.09
703,1,2.0
769,2,1.68
819,3,0.62
853,5,1.25
855,5,2.09
974,1,-0.3
976,4,-0.04
15,5,0.46
224,0,2.12
237,2,1.62
257,5,2.05
262,0,1.5
263,8,4.19
287,6,1.05
498,1,2.98
532,1,5.2
735,5,-0.05
737,3,2.09
741,1,0.23
911,1,0.06
17,1,-0.53
26,1,-0.53
275,0,1.33
336,5,-0.6
360,0,3.52
361,0,2.18
423,0,0.65
32,3,-0.58
837,3,1.03
25,6,-0.46
31,8,-0.43
57,0,-0.72
59,6,-0.27
60,5,-0.41
65,0,-0.61
175,5,3.94
375,2,-0.12
964,0,-0.34
62,3,-0.61
35,0,-0.65
44,7,0.13
47,1,-0.64
38,7,-0.5
421,4,3.0
970,8,0.11
48,0,-0.72
50,3,-0.66
53,4,-0.65
55,2,-0.63
45,2,-0.63
764,0,-0.58
49,2,-0.55
54,2,-0.55
