id,Community,B
1,0,-0.15
2,0,-0.03
5,1,-0.28
12,1,1.05
18,8,0.89
151,6,4.93
163,1,5.76
794,0,4.67
795,3,3.77
21,7,-0.64
424,4,4.37
3,2,-0.62
8,7,0.56
337,1,-0.8
4,1,0.16
6,3,-0.24
9,3,-0.77
11,0,1.19
14,2,-0.18
16,10,-0.52
19,10,0.13
27,0,-0.47
28,9,1.04
40,1,-0.1
41,8,0.13
77,8,2.0
144,1,2.41
162,1,4.8
171,5,4.88
176,6,4.5
322,2,2.93
328,5,1.03
429,1,2.15
474,10,3.52
515,8,6.84
802,8,3.21
977,0,2.16
7,1,-0.42
22,2,-0.6
24,1,0.76
46,5,0.19
51,10,0.21
152,4,3.46
422,2,6.03
446,1,1.25
37,3,0.55
158,6,0.73
412,10,3.01
839,1,-0.57
846,8,0.13
10,8,-0.54
366,10,1.56
370,1,-0.16
377,3,1.43
30,10,-0.27
43,10,-0.27
184,6,0.03
185,4,0.64
232,9,3.44
240,3,3.83
246,3,0.84
369,6,1.55
373,8,0.75
33,5,0.13
36,0,-0.52
13,1,0.76
20,6,0.67
23,6,-0.48
29,8,-0.59
34,10,-0.74
39,7,-0.06
42,1,-0.36
52,1,0.3
58,8,0.3
61,5,-0.22
63,4,-0.46
72,8,1.45
150,7,4.46
160,6,1.16
323,8,1.53
367,6,1.04
413,2,3.43
502,10,1.52
703,7,2.14
769,4,1.97
819,1,0.5
853,1,0.76
855,1,1.48
974,8,-0.03
976,5,0.03
15,9,0.66
224,3,2.55
237,1,1.63
257,6,1.83
262,10,1.66
263,10,3.96
287,5,0.56
498,3,3.77
532,4,5.58
735,7,0.01
737,1,2.09
741,4,0.24
911,0,0.27
17,3,-0.5
26,1,-0.6
275,2,1.03
336,4,-0.43
360,5,3.97
361,3,2.32
423,0,0.59
32,8,-0.54
837,6,1.04
25,8,-0.54
31,6,-0.45
57,8,-0.59
59,4,-0.38
60,10,-0.52
65,6,-0.64
175,7,3.15
375,3,-0.04
964,1,-0.42
62,5,-0.59
35,6,-0.57
44,1,-0.16
47,10,-0.74
38,8,-0.65
421,0,3.05
970,6,-0.12
48,6,-0.67
50,10,-0.85
53,5,-0.65
55,4,-0.63
45,4,-0.58
764,0,-0.45
49,4,-0.52
54,2,-0.44
64,6,-0.64
56,4,-0.55
66,0,-0.5
79,3,0.81
100,3,-0.04
101,4,-0.6
327,0,0.07
359,3,-0.67
67,9,-0.02
81,1,0.82
82,4,-0.55
84,0,0.15
94,1,-0.31
98,10,-0.01
105,6,-0.06
106,4,-0.07
107,3,-0.14
110,8,-0.06
112,4,0.41
114,1,-0.34
118,3,-0.11
126,4,0.07
132,10,-0.12
318,8,1.61
319,3,1.83
472,9,-0.09
68,1,-0.16
91,0,-0.08
102,1,-0.08
121,6,-0.09
131,10,-0.27
135,6,-0.18
136,3,1.5
699,8,0.05
69,9,0.06
90,4,0.13
96,2,0.27
117,0,-0.15
125,0,-0.0
70,6,-0.67
78,10,-0.67
95,2,-0.2
109,10,-0.01
123,4,0.78
134,0,-0.57
138,0,-0.2
71,3,-0.77
74,3,0.78
111,3,2.16
116,2,1.17
154,1,2.18
216,0,0.35
219,10,-0.7
251,0,-0.35
320,5,1.5
325,3,1.96
326,7,1.35
334,5,1.28
368,0,-0.52
374,2,0.43
418,1,1.97
457,2,1.14
501,8,1.05
521,4,0.19
533,8,2.73
599,1,0.59
696,9,1.08
700,3,0.09
709,3,0.12
710,6,0.09
714,3,0.42
717,4,-0.07
719,0,0.54
720,0,0.3
722,8,0.16
724,5,0.44
728,9,1.75
729,6,0.09
732,10,1.52
734,3,-0.37
852,6,1.1
905,1,1.86
950,8,1.81
73,0,-0.6
500,10,-0.3
115,8,0.36
122,3,0.45
127,10,-0.56
133,4,-0.1
354,8,1.19
673,10,0.68
676,0,0.37
679,6,1.31
681,0,0.74
688,1,-0.16
691,3,-0.24
705,0,0.17
706,4,0.05
713,8,-0.59
75,1,-0.54
222,8,0.24
245,2,1.24
295,1,0.04
510,6,-0.3
954,1,-0.71
956,4,-0.52
76,10,0.02
85,8,-0.12
99,3,0.25
119,2,-0.62
355,5,-0.44
727,1,-0.39
80,8,0.27
241,1,-0.25
247,2,0.46
290,6,0.82
301,10,2.61
305,5,0.31
364,8,-0.09
371,3,0.28
666,10,0.79
668,4,-0.26
671,2,0.88
682,0,-0.15
683,10,0.43
684,3,0.28
698,1,-0.08
704,10,-0.92
707,2,-0.33
948,0,1.16
365,7,-0.69
130,2,-0.49
113,2,-0.41
497,4,0.33
83,9,-0.8
86,6,-0.73
87,5,-0.72
88,8,-0.34
89,8,-0.2
124,1,-0.6
708,0,-0.3
731,3,-0.57
97,1,-0.16
317,10,0.5
93,2,-0.46
92,3,-0.77
137,8,-0.65
259,4,1.88
494,6,-0.06
689,0,-0.57
693,6,-0.54
270,6,-0.73
104,1,-0.71
513,1,-0.36
108,0,-0.52
358,8,-0.54
339,3,-0.64
335,0,-0.05
481,6,1.83
672,0,-0.35
674,1,0.04
675,4,-0.15
678,2,0.48
120,2,-0.57
129,4,-0.72
128,6,-0.67
479,6,0.79
746,10,1.99
754,6,1.4
756,1,0.88
918,4,2.53
941,1,0.62
450,7,-0.33
139,8,-0.37
140,4,-0.35
141,8,-0.4
143,9,-0.39
165,3,-0.21
167,3,-0.18
170,8,0.58
174,3,0.02
178,8,-0.34
179,3,-0.14
180,6,-0.42
142,1,-0.83
147,9,-0.17
415,2,-0.23
419,9,1.23
506,7,0.22
145,5,0.31
155,4,-0.26
159,9,-0.62
161,2,0.72
396,5,1.5
408,10,0.54
433,1,-0.1
813,10,0.35
845,0,0.62
851,2,0.85
858,3,0.68
860,1,0.24
886,10,0.83
888,1,0.67
891,6,1.43
146,2,-0.52
149,0,-0.42
148,1,-0.13
156,5,-0.37
389,7,1.02
834,2,1.19
841,9,-0.69
848,7,-0.33
153,7,-0.59
157,10,-0.78
166,7,-0.52
217,1,-0.22
218,7,0.22
265,3,0.28
267,2,0.72
268,4,0.22
283,10,-0.19
286,6,1.73
379,1,-0.6
382,2,-0.02
388,1,-0.45
399,9,0.47
402,3,0.42
420,10,1.41
426,8,1.56
427,9,0.77
437,9,-0.24
460,4,0.13
530,4,0.19
544,1,-0.13
680,3,0.05
718,9,-0.58
748,0,0.12
766,3,1.01
767,9,0.06
796,8,0.27
798,10,-0.56
801,5,-0.15
807,6,-0.33
810,3,-0.31
816,4,-0.07
820,5,-0.59
832,8,-0.23
849,2,-0.33
859,2,0.93
863,4,0.27
871,7,0.99
909,10,1.48
910,5,2.13
915,2,-0.15
922,7,0.8
966,0,-0.3
967,0,-0.28
968,0,-0.38
973,7,-0.49
975,8,-0.37
266,9,1.6
271,2,-0.33
255,6,1.04
383,8,0.44
390,0,-0.35
398,5,0.06
935,8,0.08
164,6,0.0
177,4,-0.69
191,4,-0.15
742,6,-0.42
