id,Community,B
1,0,-0.13
2,2,0.05
5,3,-0.19
12,3,1.14
18,5,1.04
151,1,4.14
163,1,5.9
794,7,6.15
795,1,3.09
21,1,-0.7
424,8,5.26
3,2,-0.61
8,8,0.76
337,7,-0.64
4,2,0.46
6,4,-0.25
9,0,-0.71
11,8,1.46
14,8,-0.23
16,8,-0.45
19,8,0.21
27,5,-0.65
28,3,0.58
40,1,-0.01
41,0,0.11
77,6,2.16
144,6,2.47
162,2,4.91
171,3,4.5
176,5,4.22
322,6,3.03
328,8,1.06
429,0,2.39
474,8,3.16
515,6,6.64
802,1,2.98
977,6,2.53
7,6,-0.45
22,4,-0.62
24,3,0.78
46,4,0.15
51,7,0.34
152,2,3.51
422,4,6.01
446,3,1.61
37,1,0.35
158,0,0.74
412,8,2.68
839,4,-0.42
846,4,0.15
10,4,-0.51
366,3,1.43
370,5,0.07
377,1,1.14
30,8,-0.19
43,8,-0.12
184,5,-0.03
185,6,0.58
232,6,2.22
240,0,3.66
246,0,0.74
369,7,1.7
373,1,0.62
33,5,-0.09
36,2,-0.48
13,5,0.85
20,8,0.76
23,5,-0.52
29,4,-0.48
34,6,-0.64
39,0,0.05
42,5,-0.4
52,1,0.26
58,1,0.21
61,8,-0.3
63,6,-0.6
72,6,1.29
150,0,5.61
160,5,1.0
323,8,2.05
367,3,0.84
413,1,3.15
502,1,0.95
703,6,2.25
769,2,1.91
819,4,0.66
853,6,1.01
855,4,1.77
974,1,-0.01
976,6,-0.17
15,8,0.51
224,4,2.2
237,6,1.73
257,2,1.6
262,4,1.4
263,8,3.82
287,4,0.52
498,6,3.22
532,3,5.68
735,7,0.22
737,5,2.28
741,6,0.27
911,3,0.22
17,2,-0.36
26,6,-0.54
275,1,0.84
336,6,-0.54
360,5,3.59
361,5,1.69
423,2,0.66
32,2,-0.48
837,5,1.16
25,5,-0.71
31,2,-0.25
57,8,-0.75
59,6,-0.48
60,4,-0.39
65,5,-0.68
175,3,3.5
375,8,-0.05
964,5,-0.4
62,1,-0.59
35,6,-0.64
44,6,-0.14
47,7,-0.48
38,4,-0.62
421,6,3.34
970,2,0.08
48,5,-0.77
50,3,-0.69
53,4,-0.59
55,3,-0.66
45,2,-0.53
764,7,-0.39
49,6,-0.73
54,1,-0.53
64,5,-0.74
56,8,-0.71
66,0,-0.5
79,6,0.58
100,7,0.1
101,4,-0.56
327,5,0.13
359,1,-0.64
67,6,-0.2
81,8,1.06
82,4,-0.45
84,8,0.36
94,5,-0.21
98,3,-0.13
105,6,-0.17
106,5,0.04
107,8,-0.16
110,8,0.03
112,3,0.43
114,8,-0.27
118,4,-0.08
126,3,0.08
132,5,-0.21
318,3,1.7
319,5,1.75
472,7,0.04
68,3,-0.1
91,8,-0.01
102,6,-0.08
121,8,-0.08
131,5,-0.34
135,6,-0.23
136,6,1.04
699,6,0.11
69,6,-0.17
90,6,0.02
96,7,0.34
117,4,-0.02
125,2,0.05
70,1,-0.62
78,0,-0.47
95,6,-0.36
109,3,-0.04
123,4,0.66
134,4,-0.62
138,1,-0.31
71,8,-0.86
74,6,0.27
111,8,2.13
116,0,1.46
154,5,2.56
216,5,0.38
219,7,-0.48
251,7,-0.27
320,0,1.28
325,7,2.03
326,4,1.66
334,5,0.91
368,2,-0.48
374,1,0.35
418,5,2.41
457,3,1.08
501,7,1.42
521,1,0.1
533,7,3.63
599,6,0.76
696,6,0.55
700,1,-0.07
709,6,-0.11
710,8,0.14
714,4,0.4
717,3,-0.1
719,4,0.55
720,1,0.26
722,1,0.18
724,6,0.33
728,4,1.03
729,6,-0.01
732,1,1.09
734,5,-0.4
852,2,1.07
905,8,2.57
950,8,2.31
73,7,-0.61
500,5,-0.24
115,7,0.74
122,2,0.56
127,1,-0.48
133,7,0.13
354,5,1.19
673,2,0.56
676,8,0.62
679,5,1.28
681,5,0.79
688,6,-0.14
691,5,-0.46
705,4,0.18
706,4,0.01
713,7,-0.55
75,5,-0.56
222,3,0.25
245,6,1.32
295,7,0.47
510,2,-0.25
954,3,-0.66
956,4,-0.48
76,4,0.12
85,6,-0.23
99,3,0.05
119,3,-0.69
355,3,-0.51
727,8,-0.45
80,2,0.28
241,4,-0.11
247,3,0.46
290,0,0.77
301,8,2.57
305,5,0.16
364,5,-0.18
371,3,0.28
666,8,1.06
668,8,-0.38
671,4,0.92
682,8,-0.01
683,4,0.38
684,8,0.36
698,3,-0.01
704,0,-0.68
707,4,-0.39
948,8,1.35
365,6,-0.79
130,4,-0.51
113,1,-0.51
497,3,0.49
83,4,-0.65
86,5,-0.87
87,4,-0.65
88,7,-0.3
89,5,-0.27
124,8,-0.6
708,3,-0.28
731,0,-0.53
97,6,-0.2
317,6,0.45
93,0,-0.53
92,8,-0.82
137,2,-0.56
259,6,1.82
494,6,-0.23
689,7,-0.64
693,7,-0.42
270,8,-0.75
104,8,-0.75
513,8,-0.16
108,7,-0.58
358,8,-0.71
339,6,-0.7
335,1,-0.18
481,4,1.6
672,8,-0.41
674,7,0.22
675,6,-0.17
678,4,0.46
120,2,-0.51
129,4,-0.68
128,7,-0.48
479,8,0.88
746,4,1.54
754,6,1.14
756,8,1.39
918,2,2.47
941,6,0.67
450,6,-0.32
139,5,-0.52
140,1,-0.4
141,0,-0.41
143,3,-0.39
165,8,-0.08
167,0,-0.19
170,8,0.43
174,3,-0.04
178,1,-0.37
179,1,-0.26
180,2,-0.33
142,1,-0.75
147,3,-0.25
415,1,-0.31
419,6,0.61
506,2,0.38
145,3,0.08
155,6,-0.29
159,6,-0.67
161,8,1.1
396,1,1.06
408,4,0.35
433,5,-0.15
813,3,0.28
845,4,0.8
851,5,0.88
858,6,0.42
860,1,0.26
886,3,0.67
888,6,0.92
891,4,1.14
146,1,-0.59
149,2,-0.41
148,8,0.06
156,7,-0.24
389,6,0.86
834,0,1.37
841,6,-0.7
848,1,-0.23
153,7,-0.51
157,8,-0.71
166,5,-0.65
217,3,-0.19
218,5,0.16
265,4,0.29
267,8,0.88
268,8,0.18
283,6,-0.17
286,1,1.25
379,6,-0.54
382,8,-0.12
388,8,-0.38
399,3,0.25
402,7,0.59
420,6,0.98
426,8,1.8
427,1,0.4
437,3,-0.22
460,5,0.07
530,5,0.32
544,4,0.06
680,4,-0.02
718,0,-0.56
748,4,0.09
766,8,0.76
767,0,-0.07
796,3,0.37
798,8,-0.6
801,0,-0.16
807,6,-0.39
810,7,-0.15
816,1,-0.15
820,4,-0.65
832,8,-0.23
849,2,-0.3
859,8,1.21
863,5,0.26
871,8,1.32
909,1,1.01
910,5,1.91
915,4,-0.14
922,1,0.95
966,0,-0.28
967,5,-0.46
968,6,-0.54
973,4,-0.45
975,3,-0.37
266,4,0.94
271,8,-0.45
255,4,0.89
383,5,0.5
390,0,-0.44
398,1,-0.07
935,1,0.02
164,3,0.05
177,2,-0.58
191,1,-0.18
742,8,-0.52
743,6,-0.54
745,6,-0.36
929,0,0.5
183,8,-0.49
272,3,-0.45
387,3,0.22
403,5,0.01
409,6,0.23
411,8,-0.08
432,7,-0.51
440,0,0.77
443,4,0.15
448,2,0.71
456,2,0.48
168,2,-0.43
393,4,0.12
406,1,0.02
414,0,0.35
169,5,-0.87
416,4,-0.42
873,8,-0.08
879,4,0.55
172,0,-0.71
173,0,-0.41
442,4,-0.56
201,0,0.2
205,4,0.23
378,4,-0.51
386,4,-0.17
405,1,0.73
407,5,0.29
425,4,-0.11
431,6,-0.14
439,0,0.44
445,4,0.15
447,0,0.74
453,1,0.13
455,1,-0.09
459,6,-0.64
471,8,0.84
517,1,1.78
702,7,0.13
181,5,-0.15
188,4,-0.19
189,7,-0.48
194,8,-0.49
198,8,-0.52
856,7,-0.33
182,1,-0.59
190,4,-0.56
193,4,-0.51
195,0,0.02
187,2,-0.58
204,8,-0.56
186,0,-0.13
196,7,-0.3
200,1,-0.56
857,0,-0.68
192,4,-0.48
202,0,-0.41
203,6,-0.64
197,6,-0.7
199,8,-0.82
210,2,0.64
736,5,-0.81
206,3,-0.75
207,1,-0.64
208,7,-0.55
212,3,-0.78
907,1,-0.7
209,5,-0.59
281,4,-0.25
282,6,-0.39
288,8,-0.38
293,0,-0.01
300,1,0.1
311,1,-0.12
