id,Community,B
1,0,-0.31
2,5,-0.02
5,5,-0.21
12,2,1.28
18,0,0.92
151,1,4.51
163,8,5.57
794,4,5.13
795,8,2.92
21,8,-0.55
424,0,4.81
3,6,-0.78
8,4,0.65
337,0,-0.88
4,6,0.39
6,1,-0.24
9,6,-0.75
11,1,1.29
14,5,-0.4
16,9,-0.3
19,1,0.08
27,7,-0.56
28,0,0.55
40,4,0.21
41,6,0.18
77,0,2.25
144,2,2.59
162,3,4.67
171,8,3.68
176,0,4.38
322,0,3.15
328,9,0.64
429,6,2.4
474,0,2.55
515,4,6.28
802,3,3.44
977,0,2.78
7,4,-0.23
22,3,-0.76
24,0,0.92
46,1,0.14
51,3,0.11
152,2,3.93
422,1,6.49
446,3,1.43
37,0,0.29
158,4,0.71
412,1,2.27
839,1,-0.48
846,6,0.12
10,7,-0.59
366,2,1.52
370,4,0.18
377,1,1.38
30,8,-0.07
43,7,0.09
184,5,0.09
185,3,0.56
232,5,2.92
240,7,4.67
246,1,0.55
369,3,1.19
373,3,0.74
33,0,-0.18
36,1,-0.51
13,4,0.99
20,2,0.56
23,2,-0.52
29,4,-0.44
34,1,-0.57
39,3,-0.1
42,0,-0.45
52,6,0.51
58,3,0.23
61,1,-0.3
63,4,-0.39
72,1,1.38
150,3,4.85
160,6,1.17
323,0,1.68
367,5,1.04
413,7,5.16
502,7,1.83
703,9,1.76
769,0,1.88
819,0,0.55
853,5,1.38
855,5,2.09
974,2,-0.17
976,3,-0.16
15,2,0.29
224,1,2.15
237,2,1.81
257,5,2.06
262,8,1.24
263,3,2.99
287,7,0.77
498,5,3.87
532,6,5.82
735,5,0.02
737,6,2.49
741,0,0.45
911,1,0.2
17,5,-0.59
26,5,-0.66
275,0,1.18
336,7,-0.44
360,3,3.05
361,8,1.64
423,0,0.65
32,0,-0.71
837,1,1.08
25,0,-0.75
31,0,-0.48
57,1,-0.6
59,5,-0.51
60,3,-0.49
65,7,-0.52
175,1,3.48
375,1,-0.16
964,0,-0.48
62,4,-0.44
35,1,-0.54
44,8,-0.07
47,0,-0.71
38,3,-0.76
421,4,3.1
970,1,-0.07
48,2,-0.76
50,7,-0.67
53,5,-0.85
55,8,-0.53
45,3,-0.73
764,7,-0.48
49,2,-0.64
54,4,-0.49
64,4,-0.44
56,1,-0.57
66,9,-0.4
79,0,0.65
100,3,-0.16
101,5,-0.81
327,4,0.18
359,5,-0.77
67,7,0.01
81,1,0.85
82,7,-0.48
84,7,0.54
94,1,0.02
98,8,-0.04
105,3,-0.22
106,7,0.32
107,7,-0.03
110,1,-0.1
112,7,0.69
114,2,-0.26
118,1,-0.13
126,1,0.02
132,6,-0.03
318,2,1.63
319,0,1.42
472,3,-0.13
68,5,-0.1
91,1,-0.04
102,3,-0.1
121,1,-0.07
131,7,-0.1
135,6,-0.12
136,7,1.76
699,8,0.16
69,3,-0.28
90,0,-0.01
96,8,0.23
117,4,-0.08
125,9,-0.03
70,4,-0.44
78,7,-0.44
