id,Community,B
1,0,-0.21
2,5,-0.15
5,2,-0.23
12,5,1.19
18,5,1.03
151,1,3.89
163,1,6.27
794,3,5.71
795,4,4.19
21,2,-0.72
424,2,4.3
3,6,-0.83
8,1,0.68
337,6,-0.83
4,6,0.37
6,6,-0.38
9,3,-0.79
11,1,1.28
14,5,-0.21
16,5,-0.4
19,2,0.02
27,3,-0.53
28,5,0.46
40,6,0.04
41,4,0.29
77,6,2.64
144,5,2.49
162,0,5.43
171,8,4.09
176,5,3.99
322,0,3.29
328,2,0.77
429,2,2.32
474,4,3.35
515,1,6.65
802,3,3.66
977,2,2.5
7,5,-0.4
22,0,-0.77
24,5,0.74
46,4,0.08
51,2,0.12
152,2,3.43
422,7,4.77
446,2,1.54
37,1,0.56
158,5,0.46
412,2,2.26
839,5,-0.53
846,1,0.18
10,5,-0.62
366,2,1.42
370,4,0.08
377,6,1.53
30,6,-0.25
43,6,-0.19
184,4,0.18
185,6,0.76
232,0,2.03
240,2,3.09
246,2,0.71
369,0,1.36
373,5,0.81
33,3,0.02
36,2,-0.63
13,3,1.19
20,6,0.69
23,1,-0.4
29,0,-0.61
34,3,-0.66
39,4,0.02
42,5,-0.4
52,3,0.41
58,2,0.27
61,0,-0.41
63,3,-0.5
72,0,1.26
150,0,5.29
160,0,0.93
323,3,1.81
367,0,0.83
413,5,3.35
502,6,1.5
703,1,2.36
769,7,1.55
819,1,0.68
853,0,0.89
855,2,1.67
974,5,-0.05
976,2,-0.16
15,0,0.16
224,3,2.33
237,0,1.79
257,0,1.79
262,1,1.4
263,6,3.16
287,3,0.44
498,0,3.16
532,2,5.67
735,3,-0.01
737,3,2.39
741,3,0.54
911,0,0.16
17,1,-0.37
26,4,-0.49
275,3,1.16
336,4,-0.55
360,6,3.71
361,0,2.03
423,6,0.76
32,1,-0.48
837,0,1.29
25,0,-0.64
31,0,-0.37
57,1,-0.57
59,1,-0.28
60,2,-0.47
65,0,-0.57
175,3,3.82
375,0,-0.14
964,0,-0.31
62,1,-0.54
35,1,-0.45
44,5,-0.11
47,8,-0.42
38,6,-0.83
421,4,4.15
970,1,0.04
48,5,-0.75
50,0,-0.71
53,0,-0.74
55,2,-0.69
45,6,-0.74
764,3,-0.6
49,0,-0.57
54,3,-0.63
64,1,-0.54
56,1,-0.57
66,4,-0.52
79,2,0.71
100,0,-0.01
101,1,-0.54
327,2,0.18
359,0,-0.67
67,3,-0.08
81,0,0.86
82,2,-0.63
84,8,0.3
94,3,-0.08
98,0,-0.11
105,2,-0.1
106,0,0.09
107,4,-0.15
110,2,-0.1
112,0,0.39
114,0,-0.21
118,2,-0.16
126,0,-0.07
132,1,-0.08
318,0,1.29
319,5,1.38
472,0,-0.07
68,0,-0.21
91,2,-0.19
102,5,0.01
121,5,-0.11
131,3,-0.21
135,0,-0.24
136,2,1.26
699,6,0.17
69,5,-0.18
90,4,0.18
96,0,0.19
117,0,-0.11
125,7,0.16
70,2,-0.66
78,3,-0.56
95,5,-0.37
109,3,0.09
123,0,0.73
134,1,-0.54
138,8,-0.14
71,0,-0.77
74,2,0.43
111,6,2.02
116,5,1.32
154,5,2.4
216,6,0.5
219,4,-0.59
251,2,-0.54
320,4,1.43
325,4,2.17
326,1,1.63
334,5,0.94
368,4,-0.62
374,1,0.33
418,6,2.73
457,3,1.13
501,5,1.0
521,5,0.14
533,0,3.29
599,0,0.73
696,0,0.73
700,4,0.05
709,5,-0.05
710,0,0.06
714,5,0.27
717,2,-0.23
719,4,0.82
720,5,0.4
722,0,0.16
724,3,0.38
728,1,1.2
729,5,0.01
732,6,1.47
734,1,-0.37
852,5,0.78
905,0,1.59
950,3,2.03
73,1,-0.6
500,5,-0.21
115,2,0.18
122,1,0.53
127,2,-0.63
133,0,-0.14
354,1,1.17
673,3,0.67
676,5,0.55
679,5,1.25
681,1,0.65
688,4,0.05
691,5,-0.34
705,2,0.21
706,0,-0.04
713,2,-0.69
75,1,-0.42
222,2,0.05
245,1,1.37
295,5,0.3
510,5,-0.37
954,0,-0.67
956,1,-0.51
76,4,0.12
85,1,-0.14
99,2,0.05
119,0,-0.77
355,0,-0.47
727,5,-0.37
80,1,0.21
241,5,-0.18
247,1,0.42
290,3,0.8
301,4,2.51
305,0,0.23
364,2,-0.13
371,0,0.03
666,0,0.79
668,3,-0.37
671,3,0.93
682,1,-0.14
683,2,0.27
684,0,0.16
698,5,-0.02
704,0,-0.74
707,3,-0.4
948,3,1.42
365,3,-0.79
130,0,-0.61
113,6,-0.57
497,3,0.48
83,2,-0.75
86,1,-0.63
87,4,-0.79
88,6,-0.48
89,0,-0.27
124,3,-0.63
708,2,-0.32
731,6,-0.7
97,3,-0.11
317,1,0.53
93,5,-0.56
92,0,-0.74
137,0,-0.71
259,0,1.99
494,4,-0.22
689,3,-0.73
693,5,-0.56
270,7,-0.37
104,0,-0.71
513,5,-0.18
108,6,-0.74
358,3,-0.6
339,0,-0.67
335,5,-0.11
481,2,1.45
672,3,-0.43
674,5,0.08
675,5,-0.05
678,1,0.44
120,4,-0.66
129,5,-0.81
128,1,-0.51
479,6,0.69
746,2,1.6
754,2,1.29
756,5,1.09
918,5,2.72
941,0,0.63
450,4,-0.29
139,3,-0.43
140,1,-0.28
141,8,-0.23
143,8,-0.28
165,1,-0.08
167,4,-0.22
170,0,0.43
174,1,0.07
178,0,-0.51
179,6,-0.22
180,6,-0.44
142,5,-0.81
147,4,-0.25
415,3,-0.4
419,1,0.76
506,2,0.3
145,6,0.11
155,0,-0.27
159,7,-0.29
161,3,0.8
396,1,1.14
408,5,0.49
433,1,0.04
813,2,0.24
845,3,1.06
851,0,0.86
858,6,0.4
860,2,0.36
886,1,0.73
888,3,1.06
891,2,1.26
146,5,-0.65
149,1,-0.42
148,5,-0.02
156,3,-0.43
389,6,1.24
834,0,1.23
841,5,-0.65
848,0,-0.24
153,6,-0.77
157,1,-0.57
166,0,-0.64
217,4,-0.05
218,2,0.18
265,5,0.24
267,2,0.67
268,4,0.35
283,4,-0.08
286,0,1.63
379,6,-0.57
382,5,-0.15
388,3,-0.4
399,3,0.31
402,1,0.36
420,1,1.08
426,5,1.54
427,1,0.39
437,5,-0.24
460,0,0.19
530,2,0.15
544,3,0.02
680,1,0.01
718,5,-0.56
748,1,0.27
766,2,0.64
767,5,-0.15
796,2,0.24
798,5,-0.49
801,3,-0.24
807,0,-0.31
810,3,-0.3
816,3,-0.04
820,5,-0.65
832,5,-0.27
849,3,-0.4
859,2,0.98
863,5,0.2
871,0,1.09
909,5,1.06
910,2,1.76
915,4,-0.08
922,1,1.05
966,5,-0.43
967,4,-0.32
968,3,-0.53
973,5,-0.49
975,6,-0.48
266,5,1.0
271,0,-0.47
255,2,0.98
383,2,0.27
390,3,-0.4
398,1,-0.02
935,2,0.08
164,6,-0.06
177,8,-0.51
191,2,-0.26
742,0,-0.41
743,5,-0.49
745,5,-0.34
929,3,0.38
183,5,-0.49
272,0,-0.37
387,1,0.39
403,0,-0.11
409,2,0.21
411,2,-0.07
432,7,-0.26
440,0,0.59
443,1,0.27
448,4,1.03
456,3,0.61
168,4,-0.62
393,4,0.22
406,1,0.07
414,1,0.24
169,0,-0.77
416,1,-0.45
873,5,-0.21
879,4,0.55
172,7,-0.39
173,6,-0.54
442,4,-0.66
201,4,0.32
205,1,0.3
378,0,-0.61
386,5,-0.11
405,5,0.52
407,4,0.55
425,1,0.01
431,3,-0.08
439,4,0.72
445,0,0.06
447,5,0.65
453,3,0.18
455,1,-0.05
459,0,-0.54
471,0,0.63
517,3,2.16
702,6,-0.12
181,0,-0.11
188,1,-0.19
189,0,-0.61
194,5,-0.49
198,6,-0.44
856,4,-0.35
182,3,-0.66
190,0,-0.61
193,4,-0.55
195,4,0.05
187,4,-0.72
204,1,-0.37
186,1,-0.14
196,2,-0.44
200,4,-0.55
857,2,-0.75
192,4,-0.52
202,3,-0.53
203,2,-0.63
197,5,-0.65
199,2,-0.75
210,4,0.86
736,8,-0.49
206,5,-0.81
207,0,-0.71
208,2,-0.69
212,1,-0.66
907,0,-0.74
